     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 1.65282E+25 2.00000E+01 5.85337E+01 1.90982E+00 4.99043E+02 1.33962E-02 2.28749E-01 1.03028E-04 3.50086E-02 6.48108E-02 8.48979E-06 4.30223E-07 1.84486E-04 2.00508E-03
 1.96723E+25 2.00000E+01 5.87515E+01 1.86637E+00 4.99065E+02 1.33600E-02 2.29005E-01 1.01701E-04 3.52368E-02 6.45840E-02 8.50964E-06 4.32711E-07 1.80448E-04 2.01011E-03
 2.34145E+25 2.00000E+01 5.90806E+01 1.84600E+00 4.99075E+02 1.33527E-02 2.28995E-01 1.01176E-04 3.52318E-02 6.45898E-02 8.48085E-06 4.32272E-07 1.79326E-04 2.01507E-03
 2.78686E+25 2.00000E+01 5.94115E+01 1.83512E+00 4.99080E+02 1.33551E-02 2.28898E-01 1.00956E-04 3.51500E-02 6.46719E-02 8.43975E-06 4.30961E-07 1.79254E-04 2.01963E-03
 3.31701E+25 2.00000E+01 5.97257E+01 1.82815E+00 4.99084E+02 1.33607E-02 2.28774E-01 1.00854E-04 3.50449E-02 6.47772E-02 8.39674E-06 4.29426E-07 1.79557E-04 2.02387E-03
 3.94799E+25 2.00000E+01 6.00228E+01 1.82288E+00 4.99086E+02 1.33672E-02 2.28645E-01 1.00797E-04 3.49346E-02 6.48877E-02 8.35473E-06 4.27868E-07 1.79989E-04 2.02787E-03
 4.69901E+25 2.00000E+01 6.02838E+01 1.81872E+00 4.99088E+02 1.33732E-02 2.28526E-01 1.00761E-04 3.48339E-02 6.49885E-02 8.31755E-06 4.26468E-07 1.80421E-04 2.03140E-03
 5.59290E+25 2.00000E+01 6.05270E+01 1.81507E+00 4.99090E+02 1.33790E-02 2.28414E-01 1.00734E-04 3.47383E-02 6.50843E-02 8.28290E-06 4.25152E-07 1.80846E-04 2.03470E-03
 6.65683E+25 2.00000E+01 6.07523E+01 1.81179E+00 4.99092E+02 1.33843E-02 2.28310E-01 1.00710E-04 3.46491E-02 6.51736E-02 8.25095E-06 4.23932E-07 1.81250E-04 2.03777E-03
 7.92314E+25 2.00000E+01 6.09594E+01 1.80881E+00 4.99093E+02 1.33892E-02 2.28213E-01 1.00689E-04 3.45668E-02 6.52559E-02 8.22174E-06 4.22814E-07 1.81625E-04 2.04060E-03
 9.43035E+25 2.00000E+01 6.11482E+01 1.80611E+00 4.99095E+02 1.33936E-02 2.28125E-01 1.00670E-04 3.44918E-02 6.53311E-02 8.19528E-06 4.21798E-07 1.81968E-04 2.04319E-03
 1.12243E+26 2.00000E+01 6.13375E+01 1.80343E+00 4.99096E+02 1.33980E-02 2.28037E-01 1.00650E-04 3.44165E-02 6.54065E-02 8.16890E-06 4.20783E-07 1.82313E-04 2.04580E-03
 1.33594E+26 2.00000E+01 6.14890E+01 1.80129E+00 4.99097E+02 1.34015E-02 2.27966E-01 1.00634E-04 3.43562E-02 6.54668E-02 8.14789E-06 4.19973E-07 1.82590E-04 2.04789E-03
 1.59008E+26 2.00000E+01 6.16408E+01 1.79916E+00 4.99098E+02 1.34049E-02 2.27895E-01 1.00618E-04 3.42958E-02 6.55273E-02 8.12694E-06 4.19163E-07 1.82868E-04 2.04999E-03

JIline[erg/s/cm^2/sr]
