# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
1.0529628246494716	43.37279731864716	0.0009173565000958609	0.49954094680408473	1.8590963860512274e-6	2.0938512346160935e-8	0.630531536070846
1.0693661369220058	42.61810825098657	0.000895430352506959	0.49955190631520835	1.9549788400642507e-6	2.2276392383210506e-8	0.6429707207189358
1.0857169441566057	41.88907724438052	0.0008745198803942043	0.49956235873617294	2.0550694021795437e-6	2.371471578581375e-8	0.6554099052780564
1.0884370810027229	41.77285909011485	0.0008707491091178252	0.4995642437365924	2.071749856388245e-6	2.3968929135214263e-8	0.6574831026923781
1.0938731326179638	41.53999195465345	0.000864385875787978	0.4995674246236746	2.1058286029248063e-6	2.4463532221392565e-8	0.6616294975179955
1.1047285346166684	41.07365309770996	0.0008518934813938975	0.4995736695653295	2.176688100132524e-6	2.5496498931743722e-8	0.6699222871578632
1.1209706668315078	40.400467077198414	0.0008336100551855274	0.49958280996972837	2.2856366419364305e-6	2.7150451848973397e-8	0.6823614715873897
1.137164844365492	39.75123630865611	0.0008162078661551634	0.49959151037662436	2.3988326222555695e-6	2.8920102485835543e-8	0.6948006559841312
1.1533123745634029	39.12263996785852	0.0007994612122962132	0.49959988358664636	2.5168298366032806e-6	3.08146384221981e-8	0.7072398403635509
1.16941450890134	38.51387525620757	0.0007838850737402952	0.49960767206167134	2.6397181811755028e-6	3.2843537030924327e-8	0.7196790247398386
1.1854724462454371	37.92397571712421	0.0007691456475535637	0.49961504265751866	2.7677096211342978e-6	3.501647892105765e-8	0.732118209126037
1.201487335870209	37.3519250327275	0.0007551971709433314	0.49962201821039465	2.901000185414202e-6	3.734387029025383e-8	0.7445573935340389
1.2174602802580357	36.79734482239492	0.0007419879834950595	0.4996286245055186	3.0397132901141403e-6	3.983672061552886e-8	0.7569965779746051
