# NH             T_dust     hc_photo     hc_h2vib     hc_h2form    hc_gasgrain  hc_OI        hc_CII       hc_CO        hc_CI
  2.5899e-06  1.2365e-05    
  2.4456e+16     122.2967   6.7378e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5080e-30  -9.8439e-25
  2.5375e+16     122.2966   6.7377e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5083e-30  -9.8439e-25
  2.6330e+16     122.2966   6.7377e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5086e-30  -9.8440e-25
  2.7320e+16     122.2966   6.7377e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5089e-30  -9.8440e-25
  2.8347e+16     122.2965   6.7377e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5091e-30  -9.8440e-25
  2.9413e+16     122.2965   6.7377e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5094e-30  -9.8441e-25
  3.0519e+16     122.2964   6.7377e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5097e-30  -9.8441e-25
  3.1667e+16     122.2964   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5100e-30  -9.8441e-25
  3.2858e+16     122.2964   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5103e-30  -9.8442e-25
  3.4093e+16     122.2963   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5105e-30  -9.8442e-25
  3.5376e+16     122.2963   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5108e-30  -9.8443e-25
  3.6706e+16     122.2962   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5111e-30  -9.8443e-25
  3.8086e+16     122.2962   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5114e-30  -9.8443e-25
  3.9518e+16     122.2961   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5117e-30  -9.8444e-25
  4.1004e+16     122.2961   6.7377e-17   2.9536e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5120e-30  -9.8444e-25
  4.2546e+16     122.2960   6.7377e-17   2.9537e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5123e-30  -9.8445e-25
  4.4146e+16     122.2960   6.7377e-17   2.9537e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5126e-30  -9.8445e-25
  4.5806e+16     122.2959   6.7377e-17   2.9537e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5129e-30  -9.8446e-25
  4.7529e+16     122.2959   6.7377e-17   2.9537e-18   1.3453e-18  -1.7453e-17  -4.0529e-17  -2.7148e-19  -2.5132e-30  -9.8446e-25
